Answer,Question
"عبداللہ بن عمر رضی الله عنہما سے روایت کہ انہوں نے نبی اکرم صلی اللہ علیہ وسلم کو فرماتے سنا: ""جو جمعہ کی نماز کے لیے آئے اسے چاہیئے کہ (پہلے) غسل کر لے""۱؎۔",جمعہ کی نماز کے لیے آنے سے پہلے کیا کرنا چاہیے 
عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ عمر بن خطاب رضی الله عنہ جمعہ کے روز خطبہ دے رہے تھے کہ اسی دوران صحابہ میں سے ایک شخص ۱؎ (مسجد میں) داخل ہوئے، تو عمر رضی الله عنہ نے پوچھا: یہ کون سا وقت (آنے کا) ہے؟ تو انہوں نے کہا: میں نے صرف اتنی دیر کی کہ اذان سنی اور بس وضو کر کے آ گیا ہوں، اس پر عمر رضی الله عنہ نے کہا: تم نے صرف (وضو ہی پر اکتفا کیا) حالانکہ تمہیں معلوم ہے کہ رسول اللہ صلی اللہ علیہ وسلم نے غسل کا حکم دیا ہے,جمعہ کے روز غسل کی کیا فضیلت ہے
"اوس بن اوس رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""جس نے جمعہ کے دن غسل کیا اور غسل کرایا، اور سویرے پہنچا، شروع سے خطبہ میں شریک رہا، امام کے قریب بیٹھا اور غور سے خطبہ سنا اور خاموش رہا تو اسے اس کے ہر قدم کے بدلے ایک سال کے روزے اور رات کے قیام کا ثواب ملے گا""۔ وکیع کہتے ہیں: اس کا معنی ہے کہ اس نے خود غسل کیا اور اپنی عورت کو بھی غسل کرایا۔",جمعہ کے دن کی کیا فضیلت ہے
"سمرہ بن جندب رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""جس نے جمعہ کے دن وضو کیا تو اس نے رخصت کو اختیار کیا اور خوب ہے یہ رخصت، اور جس نے غسل کیا تو غسل افضل ہے"" ۱؎۔",جمعہ کے دن وضو کرنا کیسا ہے
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم فرمایا: ""جس نے وضو کیا اور اچھی طرح کیا ۱؎ پھر جمعہ کے لیے آیا ۲؎، امام کے قریب بیٹھا، غور سے خطبہ سنا اور خاموش رہا تو اس کے اس جمعہ سے لے کر دوسرے جمعہ تک کے اور مزید تین دن کے ۳؎ کے گناہ ۴؎ بخش دیئے جائیں گے۔ اور جس نے کنکریاں ہٹائیں تو اس نے لغو کیا""۔",کیا کرنے سے ایک جمعہ سے لے کر دوسرے جمعہ تک کے گناہ بخش دیئے جاتے ہیں
"ابوہریرہ رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""جس نے جمعہ کے روز جنابت کے غسل کی طرح (یعنی خوب اہتمام سے) غسل کیا پھر نماز جمعہ کے لیے (پہلی گھڑی میں) گیا تو گویا اس نے ایک اونٹ اللہ کی راہ میں قربان کیا، اور جو اس کے بعد والی گھڑی میں گیا تو گویا اس نے ایک گائے قربان کی، اور جو تیسری گھڑی میں گیا تو گویا اس نے ایک سینگوں والا مینڈھا قربان کیا اور جو چوتھی گھڑی میں گیا تو گویا اس نے ایک مرغی کا صدقہ کر کے اللہ کا تقرب حاصل کیا، اور جو پانچویں گھڑی میں گیا تو گویا اس نے ایک انڈا اللہ کی راہ میں صدقہ کیا، پھر جب امام خطبہ کے لیے گھر سے نکل آیا تو فرشتے ذکر سننے کے لیے حاضر ہو جاتے ہیں ۱؎۔",جمعہ کے روز جنابت کے غسل کی کیا فضیلت ہے
"ابوالجعد ضمری رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""جو جمعہ تین بار سستی ۱؎ سے حقیر جان کر چھوڑ دے گا تو اللہ اس کے دل پر مہر لگا دے گا""۔",تین بار سستی سے جمعہ چھوڑنے سے کیا ہوتا ہے
اہل قباء میں سے ایک شخص اپنے والد سے روایت کرتا ہے - اس کے والد صحابہ میں سے ہیں - وہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم نے ہمیں حکم دیا کہ ہم قباء سے آ کر جمعہ میں شریک ہوں۔ اس سلسلے میں ابوہریرہ رضی الله عنہ سے بھی روایت کی گئی ہے، وہ نبی اکرم صلی اللہ علیہ وسلم سے روایت کرتے ہیں، لیکن یہ صحیح نہیں ہے۔,قباء سے آ کر جمعہ میں شریک ہونے کے بارے میں نبی اکرم صلی اللہ علیہ وسلم نےکیا حکم دیا
"میں نے احمد بن حسن کو کہتے سنا کہ ہم لوگ احمد بن حنبل کے پاس تھے تو لوگوں نے ذکر کیا کہ جمعہ کس پر واجب ہے؟ تو امام احمد نے اس سلسلے میں نبی اکرم صلی اللہ علیہ وسلم سے کوئی چیز ذکر نہیں کی، احمد بن حسن کہتے ہیں: تو میں نے احمد بن حنبل سے کہا: اس سلسلہ میں ابوہریرہ رضی الله عنہ کی روایت ہے جسے انہوں نے نبی اکرم صلی اللہ علیہ وسلم سے روایت کی ہے، تو امام احمد نے پوچھا کیا نبی اکرم صلی اللہ علیہ وسلم سے روایت کی ہے؟ میں نے کہا: ہاں (نبی اکرم صلی اللہ علیہ وسلم سے روایت کی ہے)، پھر احمد بن حسن نے «حجاج بن نصير حدثنا معارك بن عباد عن عبد الله بن سعيد المقبري عن أبيه عن أبي هريرة عن النبي صلى الله عليه وسلم» روایت کی ہے کہ آپ نے فرمایا: ""جمعہ اس پر واجب ہے جو رات کو اپنے گھر والوں کے پاس لوٹ کر آ سکے""، احمد بن حسن کہتے ہیں کہ احمد بن حنبل مجھ پر غصہ ہوئے اور مجھ سے کہا: اپنے رب سے استغفار کرو، اپنے رب سے استغفار کرو۔",جمعہ کس پر واجب ہے
انس بن مالک رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم جمعہ کی نماز اس وقت پڑھتے جب سورج ڈھل جاتا۔,نبی اکرم صلی اللہ علیہ وسلم جمعہ کی نماز کس وقت پڑھتے تھے۔
جابر بن سمرہ رضی الله عنہ کہتے ہیں کہ میں نبی اکرم صلی اللہ علیہ وسلم کے ساتھ نماز پڑھتا تھا تو آپ کی نماز بھی درمیانی ہوتی تھی اور خطبہ بھی درمیانا ہوتا تھا۔ (یعنی زیادہ لمبا نہیں ہوتا تھا),کیا نبی اکرم صلی اللہ علیہ وسلم لمبی نماز پڑھتے تھے
"جابر بن عبداللہ رضی الله عنہما کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم جمعہ کے دن خطبہ دے رہے تھے کہ اسی دوران ایک شخص آیا تو آپ نے اُسے پوچھا: کیا تم نے نماز پڑھ لی؟ اس نے کہا: نہیں، آپ نے فرمایا: ""اٹھو اور (دو رکعت) نماز پڑھ لو""۔",کیا خطبہ کے دوران نماز پڑھ سکتے ہیں
عیاض بن عبداللہ بن ابی سرح سے روایت ہے کہ ابو سعید خدری رضی الله عنہ جمعہ کے دن (مسجد میں) داخل ہوئے، مروان بن حکم خطبہ دے رہے تھے، وہ کھڑے ہو کر نماز پڑھنے لگے، پہریدار آئے تاکہ انہیں بٹھا دیں لیکن وہ نہیں مانے اور نماز پڑھ ہی لی، جب وہ نماز سے فارغ ہوئے تو ہم نے ان کے پاس آ کر کہا: اللہ آپ پر رحم فرمائے قریب تھا کہ یہ لوگ آپ سے ہاتھا پائی کر بیٹھتے، تو انہوں نے کہا: میں تو یہ دونوں رکعتیں ہرگز چھوڑنے والا تھا نہیں، بعد اس کے کہ میں نے رسول اللہ صلی اللہ علیہ وسلم کو ایسا کرتے دیکھا ہے، پھر انہوں نے بیان کیا کہ ایک شخص جمعہ کے دن پراگندہ حالت میں آیا، نبی اکرم صلی اللہ علیہ وسلم جمعہ کے دن خطبہ دے رہے تھے تو آپ نے اسے دو رکعت پڑھنے کا حکم دیا، اس نے دو رکعتیں پڑھیں اور نبی اکرم صلی اللہ علیہ وسلم خطبہ دے رہے تھے۔ ابن ابی عمر کہتے ہیں: سفیان بن عیینہ جب مسجد میں آتے اور امام خطبہ دے رہا ہوتا تو دو رکعتیں پڑھتے تھے، وہ اس کا حکم بھی دیتے تھے، اور ابوعبدالرحمٰن المقری بھی اسے درست سمجھتے تھے۔,کیا خطبہ کے دوران نماز پڑھ سکتے ہیں
سائب بن یزید رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم اور ابوبکر و عمر رضی الله عنہما کے زمانے میں (پہلی) اذان اس وقت ہوتی جب امام نکلتا اور(دوسری) جب نماز کھڑی ہوتی ۱؎ پھر جب عثمان رضی الله عنہ خلیفہ ہوئے تو انہوں نے زوراء ۲؎ میں تیسری اذان کا اضافہ کیا ۳؎۔,رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں کتنی اذان ہوتی تھی اور کس وقت ہوتی تھی
انس رضی الله عنہ کہتے ہیں کہ نماز کھڑی ہو جانے کے بعد میں نے نبی اکرم صلی اللہ علیہ وسلم کو دیکھا کہ آپ سے ایک آدمی باتیں کر رہا ہے، اور آپ اس کے اور قبلے کے درمیان کھڑے ہیں، آپ برابر اس سے گفتگو کرتے رہے، میں نے دیکھا کہ نبی اکرم صلی اللہ علیہ وسلم کے طول قیام کی وجہ سے بعض لوگ اونگھ رہے ہیں۔,کیا نماز کھڑی ہو جانے کے بعد نبی اکرم صلی اللہ علیہ وسلم کو باتیں کرتا دیکھا ہے
عبیداللہ بن ابی رافع کہتے ہیں: مروان نے ابوہریرہ رضی الله عنہ کو مدینے میں اپنا نائب مقرر کیا اور وہ خود مکہ کی طرف نکلے، ابوہریرہ رضی الله عنہ نے ہمیں جمعہ کے دن نماز پڑھائی تو انہوں نے (پہلی رکعت میں) سورۃ الجمعہ پڑھی اور دوسری رکعت میں «إذا جاءك المنافقون» ، عبیداللہ کہتے ہیں: تو میں ابوہریرہ رضی الله عنہ سے ملا، میں نے ان سے کہا: آپ نے دو ایسی سورتیں پڑھی ہیں جنہیں علی رضی الله عنہ کوفہ میں پڑھتے ہیں، اس پر ابوہریرہ رضی الله عنہ نے کہا: میں نے ان دونوں سورتوں کو رسول اللہ صلی اللہ علیہ وسلم کو پڑھتے سنا ہے۔,جمعہ کے دن نماز میں کون سی سورۃ پڑھنی چاہیے
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم جمعہ کے دن فجر کی نماز میں «الم ‏تنزيل السجدةَ» ، «هل أتى على الإنسان»پڑھتے تھے۔,رسول اللہ صلی اللہ علیہ وسلم جمعہ کے دن فجر کی نماز میں کیا پڑھتے تھے۔
عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم جمعہ کے بعد دو رکعت (سنت) پڑھتے تھے ۱؎۔,نبی اکرم صلی اللہ علیہ وسلم جمعہ کے بعد کیا پڑھتے تھے۔
نافع سے روایت ہے ابن عمر رضی الله عنہما جب جمعہ پڑھ لیتے تو (گھر) واپس آتے اور دو رکعت اپنے گھر میں پڑھتے پھر کہتے رسول اللہ صلی اللہ علیہ وسلم ایسا ہی کرتے تھے۔,نبی اکرم صلی اللہ علیہ وسلم جمعہ کے بعد کیا پڑھتے تھے۔
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""جو تم میں سے جمعہ کے بعد نماز پڑھے تو چاہیئے کہ چار رکعت پڑھے""۔",رسول اللہ صلی اللہ علیہ وسلم نے جمعہ کے بعد کیا پڑھنے کا حکم فرمایا
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم نے فرمایا: ""جس نے نماز میں ایک رکعت پا لی اس نے نماز پا لی"" ۱؎۔",کیا جس نے نماز میں ایک رکعت پا لی اس کی نماز ہو گئی
سہل بن سعد رضی الله عنہ کہتے ہیں: ہم لوگ رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں جمعہ کے بعد ہی کھانا کھاتے اور قیلولہ کرتے تھے۔,لوگ رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں جمعہ کے بعد کیا کرتے تھے۔
"عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم نے فرمایا: ""جب تم میں سے کوئی جمعہ کے دن اونگھے تو اپنی جگہ بدل دے""۔",جب کوئی جمعہ کے دن اونگھے تو اسے کیا کرنا چاہیے
"براء بن عازب رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""مسلمانوں پر لازم ہے کہ وہ جمعہ کے دن غسل کریں اور ہر ایک اپنے گھر والوں کی خوشبو میں سے خوشبو لگائے، اگر اسے خوشبو میسر نہ ہو تو پانی ہی اس کے لیے خوشبو ہے""۔ اس باب میں ابوسعید رضی الله عنہ اور ایک انصاری شیخ سے بھی روایت ہے۔",کیا جمعہ کے دن غسل کرنا لازم ہے 
علی بن ابی طالب رضی الله عنہ کہتے ہیں کہ عید کے لیے پیدل جانا اور نکلنے سے پہلے کچھ کھا لینا سنت ہے۔,کیا عید سے پہلے کچھ کھا لینا سنت ہے۔
عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم اور ابوبکر و عمر رضی الله عنہما عیدین کی نماز خطبہ سے پہلے پڑھتے اور اس کے بعد خطبہ دیتے تھے۔,رسول اللہ صلی اللہ علیہ وسلم عیدین کا خطبہ کب دیتے تھے۔
جابر بن سمرہ رضی الله عنہ کہتے ہیں کہ میں نے نبی اکرم صلی اللہ علیہ وسلم کے ساتھ عیدین کی نماز ایک اور دو سے زیادہ بار یعنی متعدد بار بغیر اذان اور بغیر اقامت کے پڑھی ہے,کیا نبی اکرم صلی اللہ علیہ وسلم نے عیدین کی نماز بغیر اذان اور بغیر اقامت کے پڑھی ہے
نعمان بن بشیر رضی الله عنہما کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم عیدین اور جمعہ میں «سبح اسم ربك الأعلى» اور «هل أتاك حديث الغاشية»پڑھتے تھے، اور بسا اوقات دونوں ایک ہی دن میں آ پڑتے تو بھی انہی دونوں سورتوں کو پڑھتے۔,نبی اکرم صلی اللہ علیہ وسلم عیدین اور جمعہ میں کیا پڑھتے تھے
عبیداللہ بن عبداللہ بن عتبہ سے روایت ہے کہ عمر بن خطاب نے ابوواقد لیثی حارث بن عوف رضی الله عنہ سے پوچھا: عید الفطر اور عیدالاضحیٰ میں رسول اللہ صلی اللہ علیہ وسلم کیا پڑھتے تھے؟ انہوں نے کہا: آپ «ق والقرآن المجيد» اور «اقتربت الساعة وانشق القمر» پڑھتے تھے,عید الفطر اور عیدالاضحیٰ میں رسول اللہ صلی اللہ علیہ وسلم کیا پڑھتے تھے؟
عمرو بن عوف مزنی رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم نے عیدین میں پہلی رکعت میں قرأت سے پہلے سات اور دوسری رکعت میں قرأت سے پہلے پانچ تکبیریں کہیں۔,نبی اکرم صلی اللہ علیہ وسلم نے عیدین میں کتنی تکبیریں کہیں۔
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم عید الفطر کے دن نکلے، آپ نے دو رکعت نماز پڑھی، پھر آپ نے نہ اس سے پہلے کوئی نماز پڑھی اور نہ اس کے بعد۔,کیا نبی اکرم صلی اللہ علیہ وسلم نے عید الفطر کے دن دو رکعت سے پہلے یا اس کے بعد کوئی نماز پڑھی۔
عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ وہ عید کے دن نکلے تو انہوں نے نہ اس سے پہلے کوئی نماز پڑھی اور نہ اس کے بعد اور ذکر کیا کہ نبی اکرم صلی اللہ علیہ وسلم نے ایسے ہی کیا ہے۔,کیا نبی اکرم صلی اللہ علیہ وسلم نے عید الفطر کے دن دو رکعت سے پہلے یا اس کے بعد کوئی نماز پڑھی۔
"ام عطیہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی اللہ علیہ وسلم عیدین میں کنواری لڑکیوں، دوشیزاؤں، پردہ نشیں اور حائضہ عورتوں کو بھی لے جاتے تھے۔ البتہ حائضہ عورتیں عید گاہ سے دور رہتیں اور مسلمانوں کی دعا میں شریک رہتیں۔ ایک عورت نے عرض کیا: اللہ کے رسول! اگر کسی عورت کے پاس چادر نہ ہو تو کیا کرے؟ آپ نے فرمایا: ""اس کی بہن کو چاہیئے کہ اسے اپنی چادروں میں سے کوئی چادر عاریۃً دیدے"" ۱؎۔",رسول اللہ صلی اللہ علیہ وسلم عیدین میں کن کن کو ساتھ لے جاتے تھے۔
ابوہریرہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم جب عید کے دن ایک راستے سے نکلتے تو دوسرے سے واپس آتے۔,کیا نبی اکرم صلی اللہ علیہ وسلم جب عید کے دن ایک راستے سے نکلتے تو واپس دوسرے سے آتے تھے۔
بریدہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم عید الفطر کے دن جب تک کھا نہ لیتے نکلتے نہیں تھے اور عید الاضحی کے دن جب تک نماز نہ پڑھ لیتے کھاتے نہ تھے۔,نبی اکرم صلی اللہ علیہ وسلم عید الفطر اور عید الاضحی کے دن نماز کے لیے کب نکلتے تھے۔
انس بن مالک رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم عید الفطر کے دن نماز کے لیے نکلنے سے پہلے چند کھجوریں کھا لیتے تھے۔,نبی اکرم صلی اللہ علیہ وسلم عید الفطر کے دن نماز کے لیے نکلتے سے پہلے کیا کھاتے تھے۔
عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ میں نے نبی اکرم صلی اللہ علیہ وسلم، ابوبکر، عمر اور عثمان رضی الله عنہم کے ساتھ سفر کیا، یہ لوگ ظہر اور عصر دو دو رکعت پڑھتے تھے۔ نہ اس سے پہلے کوئی نماز پڑھتے اور نہ اس کے بعد۔ عبداللہ بن عمر رضی الله عنہما کہتے ہیں: اگر میں اس سے پہلے یا اس کے بعد (سنت) نماز پڑھتا تو میں انہی (فرائض) کو پوری پڑھتا۔,نبی اکرم صلی اللہ علیہ وسلم ظہر اور عصر کے وقت کتنی رکعت پڑھتے تھے۔
ابونضرہ سے روایت ہے کہ عمران بن حصین رضی الله عنہ سے مسافر کی نماز کے بارے میں پوچھا گیا تو انہوں نے کہا: میں نے رسول اللہ صلی اللہ علیہ وسلم کے ساتھ حج کیا تو آپ نے دو ہی رکعتیں پڑھیں، اور میں نے ابوبکر رضی الله عنہ کے ساتھ حج کیا تو انہوں نے بھی دو ہی رکعتیں پڑھیں، اور عمر رضی الله عنہ کے ساتھ کیا تو انہوں نے بھی دو ہی رکعتیں پڑھیں، اور عثمان رضی الله عنہ کے ساتھ ان کی خلافت کے ابتدائی چھ یا آٹھ سالوں میں کیا تو انہوں نے بھی دو ہی رکعتیں پڑھیں۔,مسافر کی نماز کتنی ہے
انس بن مالک رضی الله عنہ کہتے ہیں کہ ہم نے نبی اکرم صلی اللہ علیہ وسلم کے ساتھ مدینہ میں چار رکعتیں پڑھیں اور ذی الحلیفہ میں دو رکعتیں پڑھیں۔,نبی اکرم صلی اللہ علیہ وسلم نے ذی الحلیفہ میں کتنی رکعتیں پڑھیں۔
عبداللہ بن عباس رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم مدینہ سے مکہ کے لیے نکلے، آپ کو سوائے اللہ رب العالمین کے کسی کا خوف نہ تھا۔(اس کے باوجود) آپ نے دو ہی رکعتیں پڑھیں ۱؎۔,نبی اکرم صلی اللہ علیہ وسلم مدینہ سے مکہ کے لیے نکلے تو آپ نے کتنی رکعتیں پڑھیں۔
انس بن مالک رضی الله عنہ کہتے ہیں کہ ہم نبی اکرم صلی اللہ علیہ وسلم کے ساتھ مدینہ سے مکہ کے لیے نکلے۔ آپ نے دو رکعتیں پڑھیں، یحییٰ بن ابی اسحاق کہتے ہیں کہ میں نے انس رضی الله عنہ سے پوچھا: رسول اللہ صلی اللہ علیہ وسلم مکہ میں کتنے دن رہے، انہوں نے کہا دس دن ۱؎۔,نبی اکرم صلی اللہ علیہ وسلم مکہ میں کتنے دن قیام کے بعد نکلے تو آپ نے دو رکعتیں پڑھیں۔
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے سفر کیا، تو آپ نے انیس دن تک دو دو رکعتیں پڑھیں ۱؎، ابن عباس کہتے ہیں: تو ہم لوگ بھی انیس یا اس سے کم دنوں (کے سفر) میں دو دو رکعتیں پڑھتے تھے۔ اور جب ہم اس سے زیادہ قیام کرتے تو چار رکعت پڑھتے۔,رسول اللہ صلی اللہ علیہ وسلم نے سفر کیا، تو آپ نے کتنے دن تک دو دو رکعتیں پڑھیں
براء بن عازب رضی الله عنہما کہتے ہیں کہ میں رسول اللہ صلی اللہ علیہ وسلم کے ساتھ اٹھارہ مہینے رہا۔ لیکن میں نے سورج ڈھلنے کے بعد ظہر سے پہلے کی دونوں رکعتیں کبھی بھی آپ کو چھوڑتے نہیں دیکھا,رسول اللہ صلی اللہ علیہ وسلم ظہر سے پہلے کی دونوں رکعتیں کب پڑھتے تھے۔
عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ میں نے نبی اکرم صلی اللہ علیہ وسلم کے ساتھ سفر میں ظہر کی دو رکعتیں پڑھیں اور اس کے بعد دو رکعںیی۔,نبی اکرم صلی اللہ علیہ وسلم نے سفر میں ظہر کی دو رکعتیں پڑھیں اور اس کے بعد کیا پڑھا
عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ میں نے حضر اور سفر دونوں میں نبی اکرم صلی اللہ علیہ وسلم کے ساتھ نماز پڑھی، میں نے آپ کے ساتھ حضر میں ظہر کی چار رکعتیں پڑھیں، اور اس کے بعد دو رکعتیں، اور سفر میں آپ کے ساتھ ظہر کی دو رکعتیں پڑھیں اور اس کے بعد دو رکعتیں اور عصر کی دو رکعتیں، اور اس کے بعد کوئی چیز نہیں پڑھی۔ اور مغرب کی سفر و حضر دونوں ہی میں تین رکعتیں پڑھیں۔ نہ حضر میں کوئی کمی کی نہ سفر میں، یہ دن کی وتر ہے اور اس کے بعد دو رکعتیں پڑھیں,حضر اور سفر میں نبی اکرم صلی اللہ علیہ وسلم کتنی نماز پڑھتے تھے۔
معاذ بن جبل رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم غزوہ تبوک میں جب سورج ڈھلنے سے پہلے کوچ کرتے تو ظہر کو مؤخر کرتے یہاں تک کہ اسے عصر کے ساتھ ملا دیتے اور دونوں کو ایک ساتھ پڑھتے، اور جب سورج ڈھلنے کے بعد کوچ کرتے تو عصر کو پہلے کر کے ظہر سے ملا دیتے اور ظہر اور عصر کو ایک ساتھ پڑھتے پھر روانہ ہوتے۔ اور جب مغرب سے پہلے کوچ فرماتے تو مغرب کو مؤخر کرتے یہاں تک کہ اسے عشاء کے ساتھ ملا کر پڑھتے، اور جب مغرب کے بعد کوچ فرماتے تو عشاء کو پہلے کر کے مغرب کے ساتھ ملا کر پڑھتے,نبی اکرم صلی اللہ علیہ وسلم غزوہ تبوک میں نماز کیسے پڑھتے تھے۔
عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ انہیں ان کی ایک بیوی کے حالت نزع میں ہونے کی خبر دی گئی تو انہیں چلنے کی جلدی ہوئی چنانچہ انہوں نے مغرب کو مؤخر کیا یہاں تک کہ شفق غائب ہو گئی، وہ سواری سے اتر کر مغرب اور عشاء دونوں کو ایک ساتھ جمع کیا، پھر لوگوں کو بتایا کہ رسول اللہ صلی اللہ علیہ وسلم کو جب چلنے کی جلدی ہوتی تو آپ ایسا ہی کرتے تھے ۲؎۔,کیا مغرب اور عشاء دونوں کو ایک ساتھ جمع کیا جا سکتا ہے
عباد بن تمیم کے چچا عبداللہ بن زید بن عاصم مازنی رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی اللہ علیہ وسلم بارش طلب کرنے کے لیے لوگوں کو ساتھ لے کر باہر نکلے، آپ نے انہیں دو رکعت نماز پڑھائی، جس میں آپ نے بلند آواز سے قرأت کی، اپنی چادر پلٹی، اپنے دونوں ہاتھ اٹھائے اور قبلہ رخ ہو کر بارش کے لیے دعا کی۔, رسول اللہ صلی اللہ علیہ وسلم نے بارش طلب کرنے کے لیے لوگوں کو نماز کیسے پڑھائی
اسحاق بن عبداللہ بن کنانہ کہتے ہیں کہ مجھے ولید بن عقبہ نے ابن عباس رضی الله عنہما کے پاس بھیجا (ولید مدینے کے امیر تھے) تاکہ میں ان سے رسول اللہ صلی اللہ علیہ وسلم کے استسقاء کے بارے میں پوچھوں، تو میں ان کے پاس آیا (اور میں نے ان سے پوچھا) تو انہوں نے کہا: رسول اللہ صلی اللہ علیہ وسلم پھٹے پرانے لباس میں عاجزی کرتے ہوئے نکلے، یہاں تک کہ عید گاہ آئے، اور آپ نے تمہارے اس خطبہ کی طرح خطبہ نہیں دیا بلکہ آپ برابر دعا کرنے، گڑگڑانے اور اللہ کی بڑائی بیان کرنے میں لگے رہے، اور آپ نے دو رکعتیں پڑھیں جیسا کہ آپ عید میں پڑھتے تھے ۱؎۔, رسول اللہ صلی اللہ علیہ وسلم عید کی نماز کیسے پڑھتے اور خطبہ کیسے دیتے تھے
عبداللہ بن عباس رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم نے سورج گرہن کی نماز پڑھی تو آپ نے قرأت کی، پھر رکوع کیا، پھر قرأت کی پھر رکوع کیا، پھر قرأت کی پھر رکوع کیا، تین بار قرأت کی اور تین بار رکوع کیا، پھر دو سجدے کئے، اور دوسری رکعت بھی اسی طرح تھی۔,نبی اکرم صلی اللہ علیہ وسلم نے سورج گرہن کی نماز کیسے پڑھی
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں سورج گرہن لگا تو آپ صلی اللہ علیہ وسلم نے لوگوں کو نماز پڑھائی، اور لمبی قرأت فرمائی، پھر آپ نے رکوع کیا تو رکوع بھی لمبا کیا، پھر اپنا سر اٹھایا اور لمبی قرأت فرمائی، یہ پہلی قرأت سے کم تھی، پھر رکوع کیا اور لمبا رکوع کیا اور یہ پہلے رکوع سے ہلکا تھا، پھر اپنا سر اٹھایا اور سجدہ کیا پھر اسی طرح دوسری رکعت میں کیا۔,نبی اکرم صلی اللہ علیہ وسلم نے سورج گرہن کی نماز کیسے پڑھائی
سمرہ بن جندب رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی اللہ علیہ وسلم نے ہمیں گرہن کی نماز پڑھائی تو ہم آپ کی آواز نہیں سن پا رہے تھے۔,نبی اکرم صلی اللہ علیہ وسلم نے سورج گرہن کی نماز کیسے پڑھی
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ نبی اکرم صلی اللہ علیہ وسلم نے گرہن کی نماز پڑھی اور اس میں آپ نے بلند آواز سے قرأت کی۔,نبی اکرم صلی اللہ علیہ وسلم نے سورج گرہن کی نماز کیسے پڑھی
